Step,PC,Prediction,Actual,Accuracy,Source
0,1000,1,-1,0.0,perceptron
1,1001,1,-1,0.0,perceptron
2,1002,1,-1,0.0,perceptron
3,1003,1,-1,0.0,perceptron
4,1004,1,-1,0.0,perceptron
5,1000,-1,-1,0.16666666666666666,perceptron
6,1001,-1,-1,0.2857142857142857,perceptron
7,1002,-1,-1,0.375,perceptron
8,1003,-1,-1,0.4444444444444444,perceptron
9,1004,-1,-1,0.5,perceptron
10,2000,1,1,0.5454545454545454,perceptron
11,2000,1,1,0.5833333333333334,perceptron
12,2000,1,1,0.6153846153846154,perceptron
13,2000,1,1,0.6428571428571429,perceptron
14,2000,1,-1,0.6,perceptron
15,2000,1,1,0.625,perceptron
16,2000,1,1,0.6470588235294118,perceptron
17,2000,1,1,0.6666666666666666,perceptron
18,2000,1,1,0.6842105263157895,perceptron
19,2000,1,-1,0.65,perceptron
20,2000,1,1,0.6666666666666666,loop
21,2000,1,1,0.6818181818181818,loop
22,2000,1,1,0.6956521739130435,loop
23,2000,-1,1,0.6666666666666666,loop
24,2000,-1,-1,0.68,loop
25,3001,1,1,0.6923076923076923,perceptron
26,3002,1,1,0.7037037037037037,perceptron
27,3000,1,1,0.7142857142857143,perceptron
28,3001,1,1,0.7241379310344828,perceptron
29,3002,1,1,0.7333333333333333,perceptron
30,3000,1,1,0.7419354838709677,perceptron
31,3001,1,1,0.75,perceptron
32,3002,1,1,0.7575757575757576,perceptron
33,3000,1,1,0.7647058823529411,perceptron
34,3001,1,1,0.7714285714285715,perceptron
35,4840,1,-1,0.75,perceptron
36,4881,1,-1,0.7297297297297297,perceptron
37,4617,1,1,0.7368421052631579,perceptron
38,4313,1,1,0.7435897435897436,perceptron
39,4419,1,1,0.75,perceptron
40,4458,1,1,0.7560975609756098,perceptron
41,4477,1,1,0.7619047619047619,perceptron
42,4267,1,1,0.7674418604651163,perceptron
43,4840,1,-1,0.75,perceptron
44,4886,1,1,0.7555555555555555,perceptron
45,4016,1,1,0.7608695652173914,perceptron
46,4839,1,1,0.7659574468085106,perceptron
47,4593,1,1,0.7708333333333334,perceptron
48,4409,1,1,0.7755102040816326,perceptron
49,4820,1,-1,0.76,perceptron
50,1000,1,-1,0.7450980392156863,perceptron
51,1001,1,-1,0.7307692307692307,perceptron
52,1002,1,-1,0.7169811320754716,perceptron
53,1003,1,-1,0.7037037037037037,perceptron
54,1004,1,-1,0.6909090909090909,perceptron
55,1000,1,-1,0.6785714285714286,perceptron
56,1001,-1,-1,0.6842105263157895,perceptron
57,1002,-1,-1,0.6896551724137931,perceptron
58,1003,-1,-1,0.6949152542372882,perceptron
59,1004,-1,-1,0.7,perceptron
60,2000,1,1,0.7049180327868853,loop
61,2000,1,1,0.7096774193548387,loop
62,2000,1,1,0.7142857142857143,loop
63,2000,-1,1,0.703125,loop
64,2000,-1,-1,0.7076923076923077,loop
65,2000,1,1,0.7121212121212122,loop
66,2000,1,1,0.7164179104477612,loop
67,2000,1,1,0.7205882352941176,loop
68,2000,-1,1,0.7101449275362319,loop
69,2000,-1,-1,0.7142857142857143,loop
70,2000,1,1,0.7183098591549296,loop
71,2000,1,1,0.7222222222222222,loop
72,2000,1,1,0.726027397260274,loop
73,2000,-1,1,0.7162162162162162,loop
74,2000,-1,-1,0.72,loop
75,3000,1,1,0.7236842105263158,perceptron
76,3001,1,1,0.7272727272727273,perceptron
77,3002,1,1,0.7307692307692307,perceptron
78,3000,1,1,0.7341772151898734,perceptron
79,3001,1,1,0.7375,perceptron
80,3002,1,1,0.7407407407407407,perceptron
81,3000,1,1,0.7439024390243902,perceptron
82,3001,1,1,0.7469879518072289,perceptron
83,3002,1,1,0.75,perceptron
84,3000,1,1,0.7529411764705882,perceptron
85,4748,1,1,0.7558139534883721,perceptron
86,4451,1,-1,0.7471264367816092,perceptron
87,4254,1,1,0.75,perceptron
88,4420,1,1,0.7528089887640449,perceptron
89,4263,1,1,0.7555555555555555,perceptron
90,4425,1,1,0.7582417582417582,perceptron
91,4177,1,1,0.7608695652173914,perceptron
92,4964,1,-1,0.7526881720430108,perceptron
93,4229,1,1,0.7553191489361702,perceptron
94,4792,1,1,0.7578947368421053,perceptron
95,4400,1,1,0.7604166666666666,perceptron
96,4280,1,1,0.7628865979381443,perceptron
97,4183,1,-1,0.7551020408163265,perceptron
98,4423,1,1,0.7575757575757576,perceptron
99,4934,1,-1,0.75,perceptron
100,1000,-1,-1,0.7524752475247525,perceptron
101,1001,-1,-1,0.7549019607843137,perceptron
102,1002,-1,-1,0.7572815533980582,perceptron
103,1003,-1,-1,0.7596153846153846,perceptron
104,1004,-1,-1,0.7619047619047619,perceptron
105,1000,-1,-1,0.7641509433962265,perceptron
106,1001,-1,-1,0.7663551401869159,perceptron
107,1002,-1,-1,0.7685185185185185,perceptron
108,1003,-1,-1,0.7706422018348624,perceptron
109,1004,-1,-1,0.7727272727272727,perceptron
110,2000,1,1,0.7747747747747747,loop
111,2000,1,1,0.7767857142857143,loop
112,2000,1,1,0.7787610619469026,loop
113,2000,-1,1,0.7719298245614035,loop
114,2000,-1,-1,0.7739130434782608,loop
115,2000,1,1,0.7758620689655172,loop
116,2000,1,1,0.7777777777777778,loop
117,2000,1,1,0.7796610169491526,loop
118,2000,-1,1,0.773109243697479,loop
119,2000,-1,-1,0.775,loop
120,2000,1,1,0.7768595041322314,loop
121,2000,1,1,0.7786885245901639,loop
122,2000,1,1,0.7804878048780488,loop
123,2000,-1,1,0.7741935483870968,loop
124,2000,-1,-1,0.776,loop
125,3002,1,1,0.7777777777777778,perceptron
126,3000,1,1,0.7795275590551181,perceptron
127,3001,1,1,0.78125,perceptron
128,3002,1,1,0.7829457364341085,perceptron
129,3000,1,1,0.7846153846153846,perceptron
130,3001,1,1,0.7862595419847328,perceptron
131,3002,1,1,0.7878787878787878,perceptron
132,3000,1,1,0.7894736842105263,perceptron
133,3001,1,1,0.7910447761194029,perceptron
134,3002,1,1,0.7925925925925926,perceptron
135,4927,1,-1,0.7867647058823529,perceptron
136,4255,1,1,0.7883211678832117,perceptron
137,4875,1,-1,0.782608695652174,perceptron
138,4035,1,1,0.7841726618705036,perceptron
139,4984,1,1,0.7857142857142857,perceptron
140,4319,1,1,0.7872340425531915,perceptron
141,4835,-1,-1,0.7887323943661971,perceptron
142,4054,1,1,0.7902097902097902,perceptron
143,4507,1,-1,0.7847222222222222,perceptron
144,4105,1,-1,0.7793103448275862,perceptron
145,4797,1,-1,0.773972602739726,perceptron
146,4490,1,1,0.7755102040816326,perceptron
147,4582,1,-1,0.7702702702702703,perceptron
148,4283,1,1,0.7718120805369127,perceptron
149,4533,1,-1,0.7666666666666667,perceptron
150,1000,-1,-1,0.7682119205298014,perceptron
151,1001,-1,-1,0.7697368421052632,perceptron
152,1002,-1,-1,0.7712418300653595,perceptron
153,1003,-1,-1,0.7727272727272727,perceptron
154,1004,-1,-1,0.7741935483870968,perceptron
155,1000,-1,-1,0.7756410256410257,perceptron
156,1001,-1,-1,0.7770700636942676,perceptron
157,1002,-1,-1,0.7784810126582279,perceptron
158,1003,-1,-1,0.779874213836478,perceptron
159,1004,-1,-1,0.78125,perceptron
160,2000,1,1,0.782608695652174,loop
161,2000,1,1,0.7839506172839507,loop
162,2000,1,1,0.7852760736196319,loop
163,2000,-1,1,0.7804878048780488,loop
164,2000,-1,-1,0.7818181818181819,loop
165,2000,1,1,0.7831325301204819,loop
166,2000,1,1,0.7844311377245509,loop
167,2000,1,1,0.7857142857142857,loop
168,2000,-1,1,0.7810650887573964,loop
169,2000,-1,-1,0.7823529411764706,loop
170,2000,1,1,0.783625730994152,loop
171,2000,1,1,0.7848837209302325,loop
172,2000,1,1,0.7861271676300579,loop
173,2000,-1,1,0.7816091954022989,loop
174,2000,-1,-1,0.7828571428571428,loop
175,3001,1,1,0.7840909090909091,perceptron
176,3002,1,1,0.7853107344632768,perceptron
177,3000,1,1,0.7865168539325843,perceptron
178,3001,1,1,0.7877094972067039,perceptron
179,3002,1,1,0.7888888888888889,perceptron
180,3000,1,1,0.7900552486187845,perceptron
181,3001,1,1,0.7912087912087912,perceptron
182,3002,1,1,0.7923497267759563,perceptron
183,3000,1,1,0.7934782608695652,perceptron
184,3001,1,1,0.7945945945945946,perceptron
185,4704,1,1,0.7956989247311828,perceptron
186,4924,1,1,0.7967914438502673,perceptron
187,4942,1,1,0.7978723404255319,perceptron
188,4609,1,1,0.798941798941799,perceptron
189,4609,1,1,0.8,perceptron
190,4724,1,-1,0.7958115183246073,perceptron
191,4030,1,-1,0.7916666666666666,perceptron
192,4153,1,-1,0.7875647668393783,perceptron
193,4449,1,1,0.788659793814433,perceptron
194,4516,1,1,0.7897435897435897,perceptron
195,4716,-1,1,0.7857142857142857,perceptron
196,4791,1,-1,0.7817258883248731,perceptron
197,4803,1,1,0.7828282828282829,perceptron
198,4823,-1,1,0.7788944723618091,perceptron
199,4345,1,-1,0.775,perceptron
200,1000,-1,-1,0.7761194029850746,perceptron
201,1001,-1,-1,0.7772277227722773,perceptron
202,1002,-1,-1,0.7783251231527094,perceptron
203,1003,-1,-1,0.7794117647058824,perceptron
204,1004,-1,-1,0.7804878048780488,perceptron
205,1000,-1,-1,0.7815533980582524,perceptron
206,1001,-1,-1,0.782608695652174,perceptron
207,1002,-1,-1,0.7836538461538461,perceptron
208,1003,-1,-1,0.784688995215311,perceptron
209,1004,-1,-1,0.7857142857142857,perceptron
210,2000,1,1,0.7867298578199052,loop
211,2000,1,1,0.7877358490566038,loop
212,2000,1,1,0.7887323943661971,loop
213,2000,-1,1,0.7850467289719626,loop
214,2000,-1,-1,0.786046511627907,loop
215,2000,1,1,0.7870370370370371,loop
216,2000,1,1,0.7880184331797235,loop
217,2000,1,1,0.7889908256880734,loop
218,2000,-1,1,0.7853881278538812,loop
219,2000,-1,-1,0.7863636363636364,loop
220,2000,1,1,0.7873303167420814,loop
221,2000,1,1,0.7882882882882883,loop
222,2000,1,1,0.7892376681614349,loop
223,2000,-1,1,0.7857142857142857,loop
224,2000,-1,-1,0.7866666666666666,loop
225,3000,1,1,0.7876106194690266,perceptron
226,3001,1,1,0.788546255506608,perceptron
227,3002,1,1,0.7894736842105263,perceptron
228,3000,1,1,0.7903930131004366,perceptron
229,3001,1,1,0.7913043478260869,perceptron
230,3002,1,1,0.7922077922077922,perceptron
231,3000,1,1,0.7931034482758621,perceptron
232,3001,1,1,0.7939914163090128,perceptron
233,3002,1,1,0.7948717948717948,perceptron
234,3000,1,1,0.7957446808510639,perceptron
235,4343,1,-1,0.7923728813559322,perceptron
236,4746,1,1,0.7932489451476793,perceptron
237,4947,1,-1,0.7899159663865546,perceptron
238,4250,1,-1,0.7866108786610879,perceptron
239,4400,1,-1,0.7833333333333333,perceptron
240,4264,1,1,0.7842323651452282,perceptron
241,4075,-1,1,0.78099173553719,perceptron
242,4105,-1,-1,0.7818930041152263,perceptron
243,4474,1,1,0.7827868852459017,perceptron
244,4874,1,-1,0.7795918367346939,perceptron
245,4373,1,1,0.7804878048780488,perceptron
246,4787,1,1,0.7813765182186235,perceptron
247,4478,1,-1,0.7782258064516129,perceptron
248,4826,1,1,0.7791164658634538,perceptron
249,4342,1,-1,0.776,perceptron
250,1000,-1,-1,0.7768924302788844,perceptron
251,1001,-1,-1,0.7777777777777778,perceptron
252,1002,-1,-1,0.7786561264822134,perceptron
253,1003,-1,-1,0.7795275590551181,perceptron
254,1004,-1,-1,0.7803921568627451,perceptron
255,1000,-1,-1,0.78125,perceptron
256,1001,-1,-1,0.7821011673151751,perceptron
257,1002,-1,-1,0.7829457364341085,perceptron
258,1003,-1,-1,0.7837837837837838,perceptron
259,1004,-1,-1,0.7846153846153846,perceptron
260,2000,1,1,0.7854406130268199,loop
261,2000,1,1,0.7862595419847328,loop
262,2000,1,1,0.7870722433460076,loop
263,2000,-1,1,0.7840909090909091,loop
264,2000,-1,-1,0.7849056603773585,loop
265,2000,1,1,0.7857142857142857,loop
266,2000,1,1,0.7865168539325843,loop
267,2000,1,1,0.7873134328358209,loop
268,2000,-1,1,0.7843866171003717,loop
269,2000,-1,-1,0.7851851851851852,loop
270,2000,1,1,0.7859778597785978,loop
271,2000,1,1,0.7867647058823529,loop
272,2000,1,1,0.7875457875457875,loop
273,2000,-1,1,0.7846715328467153,loop
274,2000,-1,-1,0.7854545454545454,loop
275,3002,1,1,0.7862318840579711,perceptron
276,3000,1,1,0.7870036101083032,perceptron
277,3001,1,1,0.7877697841726619,perceptron
278,3002,1,1,0.7885304659498208,perceptron
279,3000,1,1,0.7892857142857143,perceptron
280,3001,1,1,0.7900355871886121,perceptron
281,3002,1,1,0.7907801418439716,perceptron
282,3000,1,1,0.7915194346289752,perceptron
283,3001,1,1,0.7922535211267606,perceptron
284,3002,1,1,0.7929824561403509,perceptron
285,4913,1,1,0.7937062937062938,perceptron
286,4384,1,1,0.794425087108014,perceptron
287,4507,-1,-1,0.7951388888888888,perceptron
288,4793,1,1,0.7958477508650519,perceptron
289,4459,1,-1,0.7931034482758621,perceptron
290,4991,1,1,0.7938144329896907,perceptron
291,4858,1,-1,0.791095890410959,perceptron
292,4299,1,1,0.7918088737201365,perceptron
293,4170,1,1,0.7925170068027211,perceptron
294,4974,1,1,0.7932203389830509,perceptron
295,4718,1,1,0.793918918918919,perceptron
296,4620,1,1,0.7946127946127947,perceptron
297,4262,1,1,0.7953020134228188,perceptron
298,4866,1,1,0.7959866220735786,perceptron
299,4466,1,1,0.7966666666666666,perceptron
300,1000,-1,-1,0.7973421926910299,perceptron
301,1001,1,-1,0.7947019867549668,perceptron
302,1002,-1,-1,0.7953795379537953,perceptron
303,1003,-1,-1,0.7960526315789473,perceptron
304,1004,-1,-1,0.7967213114754098,perceptron
305,1000,-1,-1,0.7973856209150327,perceptron
306,1001,-1,-1,0.7980456026058632,perceptron
307,1002,-1,-1,0.7987012987012987,perceptron
308,1003,-1,-1,0.7993527508090615,perceptron
309,1004,-1,-1,0.8,perceptron
310,2000,1,1,0.8006430868167203,loop
311,2000,1,1,0.8012820512820513,loop
312,2000,1,1,0.8019169329073482,loop
313,2000,-1,1,0.7993630573248408,loop
314,2000,-1,-1,0.8,loop
315,2000,1,1,0.8006329113924051,loop
316,2000,1,1,0.8012618296529969,loop
317,2000,1,1,0.8018867924528302,loop
318,2000,-1,1,0.799373040752351,loop
319,2000,-1,-1,0.8,loop
320,2000,1,1,0.8006230529595015,loop
321,2000,1,1,0.8012422360248447,loop
322,2000,1,1,0.8018575851393189,loop
323,2000,-1,1,0.7993827160493827,loop
324,2000,-1,-1,0.8,loop
325,3001,1,1,0.8006134969325154,perceptron
326,3002,1,1,0.8012232415902141,perceptron
327,3000,1,1,0.801829268292683,perceptron
328,3001,1,1,0.8024316109422492,perceptron
329,3002,1,1,0.803030303030303,perceptron
330,3000,1,1,0.8036253776435045,perceptron
331,3001,1,1,0.8042168674698795,perceptron
332,3002,1,1,0.8048048048048048,perceptron
333,3000,1,1,0.8053892215568862,perceptron
334,3001,1,1,0.8059701492537313,perceptron
335,4712,-1,1,0.8035714285714286,perceptron
336,4243,1,1,0.8041543026706232,perceptron
337,4037,1,-1,0.8017751479289941,perceptron
338,4539,1,1,0.8023598820058997,perceptron
339,4717,1,1,0.8029411764705883,perceptron
340,4217,-1,-1,0.8035190615835777,perceptron
341,4111,1,-1,0.8011695906432749,perceptron
342,4899,1,1,0.8017492711370262,perceptron
343,4964,-1,1,0.7994186046511628,perceptron
344,4542,-1,1,0.7971014492753623,perceptron
345,4112,1,-1,0.7947976878612717,perceptron
346,4137,1,-1,0.792507204610951,perceptron
347,4101,1,1,0.7931034482758621,perceptron
348,4549,-1,1,0.7908309455587392,perceptron
349,4124,1,1,0.7914285714285715,perceptron
350,1000,-1,-1,0.792022792022792,perceptron
351,1001,-1,-1,0.7926136363636364,perceptron
352,1002,-1,-1,0.7932011331444759,perceptron
353,1003,-1,-1,0.7937853107344632,perceptron
354,1004,-1,-1,0.7943661971830986,perceptron
355,1000,-1,-1,0.7949438202247191,perceptron
356,1001,-1,-1,0.7955182072829131,perceptron
357,1002,-1,-1,0.7960893854748603,perceptron
358,1003,-1,-1,0.7966573816155988,perceptron
359,1004,-1,-1,0.7972222222222223,perceptron
360,2000,1,1,0.7977839335180056,loop
361,2000,1,1,0.7983425414364641,loop
362,2000,1,1,0.7988980716253443,loop
363,2000,-1,1,0.7967032967032966,loop
364,2000,-1,-1,0.7972602739726027,loop
365,2000,1,1,0.7978142076502732,loop
366,2000,1,1,0.7983651226158038,loop
367,2000,1,1,0.7989130434782609,loop
368,2000,-1,1,0.7967479674796748,loop
369,2000,-1,-1,0.7972972972972973,loop
370,2000,1,1,0.7978436657681941,loop
371,2000,1,1,0.7983870967741935,loop
372,2000,1,1,0.7989276139410187,loop
373,2000,-1,1,0.7967914438502673,loop
374,2000,-1,-1,0.7973333333333333,loop
375,3000,1,1,0.7978723404255319,perceptron
376,3001,1,1,0.7984084880636605,perceptron
377,3002,1,1,0.798941798941799,perceptron
378,3000,1,1,0.7994722955145118,perceptron
379,3001,1,1,0.8,perceptron
380,3002,1,1,0.800524934383202,perceptron
381,3000,1,1,0.8010471204188482,perceptron
382,3001,1,1,0.8015665796344648,perceptron
383,3002,1,1,0.8020833333333334,perceptron
384,3000,1,1,0.8025974025974026,perceptron
385,4454,-1,1,0.8005181347150259,perceptron
386,4349,1,1,0.8010335917312662,perceptron
387,4256,1,1,0.8015463917525774,perceptron
388,4380,1,-1,0.7994858611825193,perceptron
389,4584,-1,1,0.7974358974358975,perceptron
390,4327,1,1,0.7979539641943734,perceptron
391,4099,1,1,0.798469387755102,perceptron
392,4732,1,1,0.7989821882951654,perceptron
393,4866,1,-1,0.7969543147208121,perceptron
394,4405,-1,1,0.7949367088607595,perceptron
395,4562,1,1,0.7954545454545454,perceptron
396,4363,-1,-1,0.7959697732997482,perceptron
397,4066,1,1,0.7964824120603015,perceptron
398,4061,1,1,0.7969924812030075,perceptron
399,4867,1,-1,0.795,perceptron
400,1000,-1,-1,0.7955112219451371,perceptron
401,1001,-1,-1,0.7960199004975125,perceptron
402,1002,-1,-1,0.7965260545905707,perceptron
403,1003,-1,-1,0.7970297029702971,perceptron
404,1004,-1,-1,0.7975308641975308,perceptron
405,1000,-1,-1,0.7980295566502463,loop
406,1001,-1,-1,0.7985257985257985,perceptron
407,1002,-1,-1,0.7990196078431373,perceptron
408,1003,-1,-1,0.7995110024449877,perceptron
409,1004,-1,-1,0.8,perceptron
410,2000,1,1,0.8004866180048662,loop
411,2000,1,1,0.8009708737864077,loop
412,2000,1,1,0.801452784503632,loop
413,2000,-1,1,0.7995169082125604,loop
414,2000,-1,-1,0.8,loop
415,2000,1,1,0.8004807692307693,loop
416,2000,1,1,0.8009592326139089,loop
417,2000,1,1,0.8014354066985646,loop
418,2000,-1,1,0.7995226730310262,loop
419,2000,-1,-1,0.8,loop
420,2000,1,1,0.8004750593824228,loop
421,2000,1,1,0.8009478672985783,loop
422,2000,1,1,0.8014184397163121,loop
423,2000,-1,1,0.7995283018867925,loop
424,2000,-1,-1,0.8,loop
425,3002,1,1,0.8004694835680751,perceptron
426,3000,1,1,0.8009367681498829,perceptron
427,3001,1,1,0.8014018691588785,perceptron
428,3002,1,1,0.8018648018648019,perceptron
429,3000,1,1,0.8023255813953488,perceptron
430,3001,1,1,0.802784222737819,perceptron
431,3002,1,1,0.8032407407407407,perceptron
432,3000,1,1,0.8036951501154734,perceptron
433,3001,1,1,0.804147465437788,perceptron
434,3002,1,1,0.8045977011494253,perceptron
435,4820,-1,1,0.8027522935779816,perceptron
436,4256,1,-1,0.8009153318077803,perceptron
437,4287,-1,1,0.7990867579908676,perceptron
438,4919,-1,1,0.7972665148063781,perceptron
439,4608,1,-1,0.7954545454545454,perceptron
440,4399,1,1,0.7959183673469388,perceptron
441,4214,-1,-1,0.7963800904977375,perceptron
442,4427,1,1,0.7968397291196389,perceptron
443,4756,1,-1,0.795045045045045,perceptron
444,4035,1,-1,0.7932584269662921,perceptron
445,4743,1,-1,0.7914798206278026,perceptron
446,4543,1,1,0.7919463087248322,perceptron
447,4537,1,1,0.7924107142857143,perceptron
448,4687,1,1,0.7928730512249443,perceptron
449,4284,1,1,0.7933333333333333,perceptron
450,1000,-1,-1,0.7937915742793792,loop
451,1001,-1,-1,0.7942477876106194,perceptron
452,1002,-1,-1,0.7947019867549668,perceptron
453,1003,-1,-1,0.7951541850220264,perceptron
454,1004,-1,-1,0.7956043956043956,perceptron
455,1000,-1,-1,0.7960526315789473,loop
456,1001,-1,-1,0.7964989059080962,perceptron
457,1002,-1,-1,0.7969432314410481,perceptron
458,1003,-1,-1,0.7973856209150327,perceptron
459,1004,-1,-1,0.7978260869565217,perceptron
460,2000,1,1,0.7982646420824295,loop
461,2000,1,1,0.7987012987012987,loop
462,2000,1,1,0.7991360691144709,loop
463,2000,-1,1,0.7974137931034483,loop
464,2000,-1,-1,0.7978494623655914,loop
465,2000,1,1,0.7982832618025751,loop
466,2000,1,1,0.7987152034261242,loop
467,2000,1,1,0.7991452991452992,loop
468,2000,-1,1,0.7974413646055437,loop
469,2000,-1,-1,0.7978723404255319,loop
470,2000,1,1,0.7983014861995754,loop
471,2000,1,1,0.798728813559322,loop
472,2000,1,1,0.7991543340380549,loop
473,2000,-1,1,0.7974683544303798,loop
474,2000,-1,-1,0.7978947368421052,loop
475,3001,1,1,0.7983193277310925,perceptron
476,3002,1,1,0.7987421383647799,perceptron
477,3000,1,1,0.799163179916318,perceptron
478,3001,1,1,0.7995824634655533,perceptron
479,3002,1,1,0.8,perceptron
480,3000,1,1,0.8004158004158004,perceptron
481,3001,1,1,0.8008298755186722,perceptron
482,3002,1,1,0.8012422360248447,perceptron
483,3000,1,1,0.8016528925619835,perceptron
484,3001,1,1,0.8020618556701031,perceptron
485,4218,-1,1,0.8004115226337448,perceptron
486,4400,1,1,0.8008213552361396,perceptron
487,4876,1,1,0.8012295081967213,perceptron
488,4056,1,1,0.8016359918200409,perceptron
489,4453,1,1,0.8020408163265306,perceptron
490,4609,1,1,0.8024439918533605,perceptron
491,4615,-1,1,0.8008130081300813,perceptron
492,4947,-1,1,0.7991886409736308,perceptron
493,4605,1,1,0.7995951417004049,perceptron
494,4065,1,-1,0.797979797979798,perceptron
495,4249,1,1,0.7983870967741935,perceptron
496,4306,1,-1,0.7967806841046278,perceptron
497,4007,1,-1,0.7951807228915663,perceptron
498,4807,1,-1,0.7935871743486974,perceptron
499,4437,1,-1,0.792,perceptron
